%	"NGRIP, GRIP and GISP2 ?18O and calcium concentration in 50 yrs means on the GICC05modelext timescale"
%
%   Please note that this file has been modified for the SEAMUS tutorial by Bryan Lougheed (duplicate measurements averaged)
%   This file is, therefore, only meant for demonstration purposes for the SEAMUS tutorial and not to be used for research.
%   For the original data, please consult the original excel file by the original authors, which you can download from here: http://www.iceandclimate.nbi.ku.dk/data/
%
%	2	3	4	5	6	7	8	9	10	11	12	13
%Age	NGRIP1 depth	d18O NGRIP1	NGRIP2 depth	d18O NGRIP2	[Ca2+] NGRIP2	GRIP depth	d18O GRIP	[Ca2+] GRIP	GISP2 depth	d18O GISP2	[Ca2+] GISP2	MCE
%(years b2k)	(m)	(?)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(years)
50	17.43	-34.76	NaN	NaN	NaN	17.6	-35.38	NaN	NaN	NaN	NaN	1
100	31.53	-34.76	NaN	NaN	NaN	34.68	-35.38	NaN	NaN	NaN	NaN	1
150	44.6	-35.1	NaN	NaN	NaN	49.73	-35.19	NaN	53.28	-34.97	8.83	1
200	56.33	-35.41	NaN	NaN	NaN	63.08	-35.15	NaN	67.47	-35.17	8.8	1
250	67.33	-35.44	NaN	NaN	NaN	75.8	-35.25	NaN	81.08	-35.16	9.34	1
300	77.6	-35.65	NaN	NaN	NaN	88.15	-35.19	NaN	94.06	-35.24	8.43	1
350	87.6	-35.8	NaN	NaN	NaN	100.15	-35.28	NaN	106.91	-34.96	7.62	1
400	97.43	-35.5	NaN	NaN	NaN	111.5	-35.3	NaN	119.16	-35.26	8.17	1
450	107.15	-35.49	NaN	NaN	NaN	122.75	-35.02	NaN	131.18	-35.05	8.16	1
500	116.7	-35.36	NaN	NaN	NaN	134.25	-35.07	NaN	143.34	-35.18	7.42	1
550	126.18	-35.28	NaN	NaN	NaN	145.43	-35.33	NaN	155.13	-35.14	7.59	1
600	135.73	-35.14	NaN	NaN	NaN	157	-35.24	NaN	167.42	-34.84	5.42	1
650	145.05	-35.33	NaN	NaN	NaN	167.88	-35.72	NaN	178.98	-35.24	4.68	1
700	154.33	-35.53	NaN	NaN	NaN	178.75	-35.37	NaN	190.47	-35.04	5.52	1
750	163.25	-35.41	NaN	NaN	NaN	189.33	-35.36	NaN	201.82	-35	6.37	1
800	172	-35.37	NaN	NaN	NaN	199.48	-35.2	NaN	212.69	-34.91	5.85	1
850	180.95	-35.69	NaN	NaN	NaN	210.13	-35.59	NaN	223.98	-35.32	5.87	1
900	190.18	-35.4	NaN	NaN	NaN	220.88	-35.58	NaN	235.3	-34.59	5.75	1
950	199.08	-35.38	NaN	NaN	NaN	231.35	-35.31	NaN	246.26	-34.99	6.56	1
1000	207.85	-35.44	NaN	NaN	NaN	241.58	-35.28	NaN	257.12	-34.9	5.35	1
1050	216.85	-35.06	NaN	NaN	NaN	252.7	-34.94	NaN	268.77	-34.54	5.69	1
1100	225.8	-35.2	NaN	NaN	NaN	263.28	-35.06	NaN	279.9	-34.62	5.18	1
1150	234.65	-35.6	NaN	NaN	NaN	273.7	-35.55	NaN	290.83	-35.1	5.48	1
1200	243.35	-35.45	NaN	NaN	NaN	284.13	-35.28	NaN	301.71	-35.35	6.38	1
1250	252.43	-35.4	NaN	NaN	NaN	294.6	-34.83	NaN	312.77	-35.04	6.41	1
1300	261.18	-35.18	NaN	NaN	NaN	304.95	-35	NaN	323.72	-35.07	5.75	2
1350	269.88	-35.08	NaN	NaN	NaN	314.78	-35.25	NaN	334.09	-35.13	5.44	2
1400	278.7	-35.23	NaN	NaN	NaN	325.25	-35.15	NaN	344.95	-35	6.42	2
1450	287.5	-35.01	NaN	NaN	NaN	335.73	-35.23	NaN	355.51	NaN	3.75	2
1500	296.25	-35.36	NaN	NaN	NaN	346.15	-35.56	NaN	366.32	-34.73	4.86	2
1550	305	-35.48	NaN	NaN	NaN	356.18	-35.45	NaN	377	-34.93	5.89	1
1600	313.55	-35.23	NaN	NaN	NaN	366.15	-34.94	NaN	387.58	-34.4	5.86	1
1650	322.08	-35.09	NaN	NaN	NaN	376.18	-35.09	NaN	397.96	NaN	8.39	1
1700	330.78	-35.52	NaN	NaN	NaN	386.33	-35.32	NaN	408.47	-34.79	5.39	1
1750	339.13	-35.33	NaN	NaN	NaN	395.98	-35.19	NaN	418.73	-34.52	5.47	1
1800	347.68	-35.71	NaN	NaN	NaN	405.78	-35.41	NaN	428.96	-35.09	5.37	1
1850	355.83	-35.38	NaN	NaN	NaN	415.58	-35.31	NaN	439.21	-35.13	6.46	1
1900	364.34	-34.93	NaN	NaN	NaN	425.03	-34.94	NaN	449.14	-34.72	6.61	1
1950	372.29	-34.61	NaN	NaN	NaN	435	-34.7	NaN	459.6	-34.67	5.37	1
2000	381.49	-35.25	NaN	NaN	NaN	445	-34.98	NaN	470.09	-34.79	5.89	1
2050	390.09	-34.98	NaN	NaN	NaN	455.23	-34.82	NaN	480.83	-34.42	6.43	1
